CCN,Address,State,ZIP,Hospital Type,Ownership,ED Services,Abdominopelvic Accidental Puncture Or Laceration Rate,Death Rate Among Surgical Inpatients With Serious Treatable Complications,Death Rate For Cabg Surgery Patients,Death Rate For Copd Patients,Death Rate For Heart Failure Patients,Death Rate For Pneumonia Patients,Hybrid Hospital Wide All Cause Risk Standardized Mortality Rate,Iatrogenic Pneumothorax Rate,In Hospital Fall Associated Fracture Rate,Mort 30 Ami,Mort 30 Stk,Perioperative Pulmonary Embolism Or Deep Vein Thrombosis Rate,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Postoperative Hemorrhage Or Hematoma Rate,Postoperative Respiratory Failure Rate,Postoperative Sepsis Rate,Postoperative Wound Dehiscence Rate,Pressure Ulcer Rate,Medicare Hospital Spending Per Patient Medicare Spending Per Beneficiary
010173,2030 LAY DAM ROAD,AL,35045,Acute Care Hospitals,Voluntary non-profit - Church,Yes,,,,,,16.4,4.3,0.25,0.29,,,,,,,,,1.36,0.84
010157,201 WEST AVALON AVENUE,AL,35661,Acute Care Hospitals,Proprietary,Yes,,,,,,,4.3,0.25,0.33,,,,,,,,,0.61,1.05
010169,401 MEDICAL PARK DRIVE,AL,36502,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.89,,,,10.5,18.7,3.9,0.25,0.29,,,,,,,,,0.59,0.95
010168,4401 RIVER CHASE DRIVE,AL,36867,Acute Care Hospitals,Government - State,Yes,0.86,,,,,,3.9,0.24,0.35,,,3.87,1.61,3.13,10.7,6.71,1.86,0.52,0.98
010164,315 W HICKORY ST,AL,35150,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.1,,,10.4,12.5,18.9,5.2,0.36,0.32,,,3.66,,2.35,,,1.84,0.46,0.97
010158,15155 HIGHWAY 43,AL,35653,Acute Care Hospitals,Proprietary,Yes,0.87,,,9.7,,16.4,4.3,0.25,0.33,,,3.7,,2.75,,,1.85,0.52,1.08
010150,29 L V STABLER DRIVE,AL,36037,Acute Care Hospitals,Proprietary,Yes,,,,,,,4.7,0.25,0.29,,,3.87,,2.42,,,,0.56,1.02
010138,751 DERBY DRIVE,AL,36925,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,,,0.25,0.29,,,,,,,,,0.65,
010149,400 TAYLOR ROAD,AL,36117,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.74,,,9.0,10.4,16.3,3.7,0.28,0.27,11.9,13.6,3.72,1.63,2.21,14.28,4.7,1.76,0.9,0.99
010148,101 CRESTVIEW AVENUE,AL,36401,Acute Care Hospitals,Proprietary,Yes,,,,8.6,9.8,21.3,4.3,0.25,0.33,,,,,,,,,0.56,0.87
010144,3719 DAUPHIN STREET,AL,36608,Acute Care Hospitals,Proprietary,Yes,0.79,211.22,3.0,8.8,13.4,15.7,4.6,0.22,0.26,13.0,13.1,3.18,1.49,2.51,8.65,5.93,1.81,1.12,0.99
010139,1280 COLUMBIANA ROAD STE 102,AL,35216,Acute Care Hospitals,Proprietary,Yes,0.72,152.41,3.6,7.4,11.6,16.2,4.0,0.21,0.3,13.2,16.5,3.5,,2.17,,,2.16,0.73,1.07
010131,ONE HOSPITAL DR SE,AL,35801,Acute Care Hospitals,Proprietary,Yes,0.71,185.94,,7.8,14.2,18.6,4.6,0.3,0.28,11.3,13.4,4.56,1.95,2.23,10.88,5.67,1.76,0.51,0.97
010130,7063 VETERANS PARKWAY,AL,35125,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,6.9,12.7,18.0,4.0,0.24,0.28,,,3.8,,2.38,,,1.86,1.05,0.88
010175,4800 48TH STREET,AL,36854,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,14.7,4.4,0.25,0.29,,,,,,,,,0.61,1.01
01014F,700 SOUTH 19TH STREET,AL,35233,Acute Care - Veterans Administration,Veterans Health Administration,Yes,1.03,142.25,,6.7,8.4,13.5,,0.2,0.29,12.3,,3.57,1.35,3.26,7.27,6.69,1.62,1.27,
01019F,215 PERRY HILL ROAD,AL,36109,Acute Care - Veterans Administration,Veterans Health Administration,Yes,0.89,,,6.7,8.5,14.0,,0.24,0.28,,,3.88,,2.42,,,,0.47,
014012,201 UNIVERSITY BLVD,AL,35401,Psychiatric,Government - State,Yes,,,,,,,,,,,,,,,,,,,
011300,14600 ST. STEPHENS AVENUE,AL,36518,Critical Access Hospitals,Government - Local,Yes,,,,,,,,,,,,,,,,,,,
014018,"5315 MILLENIUM DRIVE, NW",AL,35806,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
014017,7400 ROPER LANE,AL,36526,Psychiatric,Voluntary non-profit - Other,No,,,,,,,,,,,,,,,,,,,
014016,"1910 CHEROKEE AVENUE, SW",AL,35055,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
014015,150 HOSPITAL DRIVE,AL,36049,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
014014,5800 SOUTHLAND DRIVE,AL,36693,Psychiatric,Voluntary non-profit - Other,Yes,,,,,,,,,,,,,,,,,,,
010129,1815 HAND AVENUE,AL,36507,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,,13.6,18.5,4.1,0.25,0.29,,,3.73,,2.4,,,,0.52,0.92
014007,1651 RUBY TYLER PKWY,AL,35404,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
01021F,3701 LOOP ROAD EAST,AL,35404,Acute Care - Veterans Administration,Veterans Health Administration,No,,,,,,,,,,,,,,,,,,,
014006,3201 SCENIC HIGHWAY,AL,35902,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
013301,1700 CENTER STREET,AL,36604,Childrens,Government - State,Yes,,,,,,,,,,,,,,,,,,,
013300,1600 SEVENTH AVENUE SOUTH,AL,35233,Childrens,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
011307,820 W WASHINGTON ST,AL,36027,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,,,,,,,,,,,,,,
011306,1032 MAIN STREET SOUTH,AL,36278,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,15.7,4.3,,,,,,,,,,,,
011305,150 GILBREATH DRIVE,AL,35121,Critical Access Hospitals,Voluntary non-profit - Private,No,,,,,,19.1,4.0,,,,,,,,,,,,
011304,"401 VANITY FAIR LANE, PO BOX 618",AL,36904,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
011302,211 HOSPITAL ROAD,AL,35582,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,,4.0,,,,,,,,,,,,
014000,6869 FIFTH AVENUE SOUTH,AL,35212,Psychiatric,Proprietary,No,,,,,,,,,,,,,,,,,,,
010128,220 HOSPITAL DRIVE,AL,36545,Acute Care Hospitals,Proprietary,Yes,,,,,,,4.4,0.25,0.29,,,,,,,,,0.62,0.97
010001,1108 ROSS CLARK CIRCLE,AL,36301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.37,194.78,3.0,9.4,10.2,18.4,4.5,0.21,0.28,11.4,13.5,6.08,1.36,2.85,12.33,5.0,1.63,0.11,1.03
010125,42024 HIGHWAY 195 E,AL,35565,Acute Care Hospitals,Proprietary,Yes,,,,8.0,15.1,14.0,6.1,0.25,0.29,,,,,,,,,1.25,1.03
010055,4370 WEST MAIN STREET,AL,36302,Acute Care Hospitals,Proprietary,Yes,0.86,153.16,4.0,11.7,13.9,17.5,5.1,0.19,0.27,14.3,13.8,3.09,1.54,2.19,7.88,4.4,2.11,0.15,1.0
010052,201 MARIARDEN ROAD,AL,36853,Acute Care Hospitals,Proprietary,Yes,,,,,,18.7,4.5,0.25,0.29,,,,,,,,,0.62,0.99
010051,509 WILSON AVENUE,AL,35462,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,,,,,,0.25,0.29,,,,,,,,,0.65,
010049,400 N EDWARDS STREET,AL,36330,Acute Care Hospitals,Proprietary,Yes,0.84,,,10.2,12.6,19.9,4.2,0.24,0.28,,16.1,4.36,1.65,2.31,8.49,5.3,1.82,0.41,0.95
010046,600 SOUTH THIRD STREET,AL,35901,Acute Care Hospitals,Proprietary,Yes,0.79,179.06,,9.2,12.2,18.5,4.2,0.22,0.3,12.0,14.4,3.09,1.61,2.46,7.39,5.12,1.8,0.24,0.98
010045,1653 TEMPLE AVENUE NORTH,AL,35555,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,,9.8,10.8,15.9,4.3,0.25,0.33,,,,,,,,,0.58,0.99
010044,1256 MILITARY STREET SOUTH,AL,35570,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,13.9,16.7,4.8,0.25,0.33,,,,,,,,,0.63,0.96
010040,1007 GOODYEAR AVENUE,AL,35903,Acute Care Hospitals,Proprietary,Yes,0.99,192.8,2.4,9.3,10.8,20.1,4.9,0.22,0.25,11.1,12.9,2.91,1.86,2.3,21.82,9.51,2.52,2.78,1.05
010039,101 SIVLEY RD,AL,35801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.03,222.48,1.9,9.0,13.0,20.9,4.3,0.31,0.31,17.1,12.8,6.27,3.21,2.19,23.57,9.17,1.94,0.99,1.02
010036,849 SOUTH THREE NOTCH STREET,AL,36420,Acute Care Hospitals,Proprietary,Yes,0.85,,,8.7,12.9,18.3,4.5,0.3,0.28,,12.5,3.62,,2.35,,,1.83,0.44,1.0
010035,1912 ALABAMA HIGHWAY 157,AL,35058,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.79,179.08,,9.5,11.6,20.0,5.7,0.33,0.29,12.6,14.3,3.01,1.65,2.14,13.18,5.81,1.76,0.26,0.97
010034,805 FRIENDSHIP ROAD,AL,36078,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.89,,,,,,4.2,0.25,0.29,,,,,,,,,0.63,0.92
010033,619 SOUTH 19TH STREET,AL,35233,Acute Care Hospitals,Government - State,Yes,1.18,207.32,2.4,9.3,10.2,14.5,3.6,0.31,0.33,11.3,14.5,6.3,2.42,3.09,13.7,5.87,2.08,0.59,0.96
010029,2000 PEPPERELL PARKWAY,AL,36801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.7,196.14,3.5,11.1,13.7,17.7,4.2,0.3,0.31,13.8,14.5,3.44,1.34,2.18,13.19,5.04,1.65,0.55,0.96
010024,1725 PINE STREET,AL,36106,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.12,200.02,3.0,7.8,13.0,20.8,5.1,0.25,0.25,11.7,14.3,3.35,1.41,1.66,8.38,5.71,1.68,1.0,1.03
010023,2105 EAST SOUTH BOULEVARD,AL,36116,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.73,192.83,1.9,8.6,12.5,17.4,4.1,0.34,0.23,12.8,16.7,8.15,1.69,2.55,12.46,7.54,1.71,2.67,1.03
010021,126 HOSPITAL AVE,AL,36360,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.87,,,,,16.0,4.4,0.31,0.29,,,3.83,,2.42,17.21,,,0.51,1.08
010019,1300 SOUTH MONTGOMERY AVENUE,AL,35660,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.75,,,8.6,18.5,18.7,5.6,0.22,0.26,,13.3,5.34,,2.2,,,1.74,0.27,1.11
010018,1720 UNIVERSITY BLVD STE 305,AL,35233,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,0.25,0.29,,,3.88,1.68,2.38,10.07,5.56,,,
010016,1000 FIRST STREET NORTH,AL,35007,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.73,148.39,2.2,9.4,10.6,16.9,4.3,0.22,0.26,14.1,16.0,4.99,2.09,1.88,13.01,8.12,2.5,1.27,1.05
010012,200 MED CENTER DRIVE,AL,35968,Acute Care Hospitals,Proprietary,Yes,0.85,,,9.5,15.9,19.8,4.6,0.24,0.28,12.8,,3.6,1.63,2.36,9.5,6.28,2.24,0.48,1.01
010011,50 MEDICAL PARK EAST DRIVE,AL,35235,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.76,208.8,2.2,9.1,14.4,20.1,4.1,0.35,0.4,12.7,12.8,3.77,1.84,1.82,10.24,7.48,1.77,0.15,1.02
010008,101 HOSPITAL CIRCLE,AL,36049,Acute Care Hospitals,Proprietary,Yes,,,,,,15.0,4.3,0.25,0.29,,,,,,,,,0.61,1.07
010007,702 N MAIN ST,AL,36467,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,11.2,13.4,25.4,4.8,0.24,0.28,,,3.75,1.67,2.41,9.75,5.45,,0.49,1.02
010006,1701 VETERANS DRIVE,AL,35630,Acute Care Hospitals,Proprietary,Yes,0.91,201.13,5.4,8.7,12.5,19.6,5.2,0.39,0.27,14.5,12.4,4.14,1.42,5.53,14.86,4.04,2.06,0.78,1.02
010005,2505 U S HIGHWAY 431 NORTH,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.77,191.14,,8.9,14.1,21.2,4.6,0.23,0.3,,12.9,4.61,1.38,2.74,10.11,5.7,1.79,0.63,1.0
010126,1330 HIGHWAY 231 SOUTH,AL,36081,Acute Care Hospitals,Government - Federal,Yes,,,,,12.3,17.8,4.5,0.25,0.29,,,3.81,,2.42,,,,0.59,0.97
010056,810 ST VINCENT'S DRIVE,AL,35205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,138.09,3.8,7.9,10.7,14.5,3.8,0.29,0.4,12.1,13.1,4.07,2.09,2.92,12.57,5.37,2.01,0.14,0.98
010058,208 PIERSON AVE,AL,35042,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,17.6,4.9,0.25,0.29,,,,,,,,,0.62,1.04
010022,400 NORTHWOOD DR,AL,35960,Acute Care Hospitals,Proprietary,Yes,,,,,,,4.2,0.25,0.29,,,,,,,,,0.61,1.12
010061,380 WOODS COVE ROAD,AL,35768,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.87,,,9.6,13.6,19.0,5.6,0.24,0.28,,13.6,3.6,1.69,2.39,9.99,6.41,,0.43,1.02
010120,2016 SOUTH ALABAMA AVENUE,AL,36460,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,15.2,21.2,6.0,0.25,0.33,,,,,,,,,0.57,1.02
010059,202 HOSPITAL STREET,AL,35650,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,15.4,4.2,0.25,0.29,,,,,,,,,0.63,0.88
010118,1015 MEDICAL CENTER PARKWAY,AL,36701,Acute Care Hospitals,Proprietary,Yes,0.86,,,8.1,10.5,18.0,4.8,0.24,0.32,,16.9,3.75,,2.41,,,,0.4,0.97
010114,995 9TH AVENUE SOUTHWEST,AL,35022,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.77,177.26,,8.4,12.5,13.6,4.4,0.24,0.27,,,5.25,1.6,2.89,12.54,7.8,1.79,0.31,0.94
010113,5 MOBILE INFIRMARY CIRCLE,AL,36607,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.24,189.61,3.9,8.6,11.6,19.6,4.1,0.22,0.25,12.0,15.1,5.37,1.6,2.69,21.2,7.07,1.62,0.54,1.05
010112,105 HIGHWAY 80 EAST,AL,36732,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.87,,,,10.9,16.0,4.7,0.3,0.28,,,3.71,,2.4,,,,2.08,0.91
010110,102 WEST CONECUH AVENUE,AL,36089,Acute Care Hospitals,Proprietary,Yes,,,,,,,,,,,,,,,,,,,
010104,3690 GRANDVIEW PARKWAY,AL,35243,Acute Care Hospitals,Proprietary,Yes,1.07,163.15,5.4,8.8,12.6,15.4,4.6,0.21,0.32,12.8,13.2,4.85,2.96,2.37,8.58,6.85,1.58,0.38,1.02
010103,701 PRINCETON AVENUE SOUTHWEST,AL,35211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.72,120.97,2.4,10.5,10.4,17.0,3.9,0.31,0.26,14.8,13.3,4.78,1.72,1.8,11.52,7.43,1.77,0.41,0.99
010102,317 MCWILLIAMS AVENUE,AL,36726,Acute Care Hospitals,Government - Local,Yes,,,,,,,,0.25,0.29,,,,,,,,,,
010101,604 STONE AVENUE,AL,35160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.87,,,,12.6,15.4,4.4,0.25,0.29,,,3.81,,2.42,,,,0.51,1.02
010100,750 MORPHY AVENUE,AL,36532,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.74,209.02,4.7,10.2,12.7,20.5,4.4,0.2,0.38,12.1,14.0,6.06,1.29,1.69,6.56,4.76,1.71,0.65,0.96
010099,1301 BELLEVILLE AVENUE,AL,36426,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.87,,,,10.8,20.7,4.2,0.31,0.29,,,3.86,,2.4,,,,0.56,1.0
010097,500 HOSPITAL DRIVE,AL,36092,Acute Care Hospitals,Proprietary,Yes,,,,,,17.9,4.5,0.25,0.29,,,,,,,,,0.62,0.83
010108,124 S MEMORIAL DR,AL,36067,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.88,,,8.1,13.1,17.7,4.3,0.24,0.28,,13.2,4.39,,2.42,,,,0.42,0.95
010092,809 UNIVERSITY BOULEVARD EAST,AL,35401,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.18,188.66,,8.6,13.6,16.2,5.3,0.28,0.28,13.3,15.8,5.37,,2.83,,,1.61,0.35,0.98
010065,3316 HIGHWAY 280,AL,35010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.86,,,9.5,12.1,22.4,4.9,0.3,0.28,12.2,,3.67,,2.39,10.04,,,1.04,0.89
010062,1200 W MAPLE AVENUE,AL,36340,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.88,,,,,,5.1,0.25,0.29,,,,,,,,,0.6,0.96
010095,508 GREENE STREET,AL,36744,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,,4.3,0.25,0.29,,,,,,,,,0.62,1.05
010073,83825 HIGHWAY 9    P O BOX 1270,AL,36251,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,19.1,4.3,0.25,0.29,,,,,,,,,0.6,0.94
010078,400 EAST 10TH STREET,AL,36207,Acute Care Hospitals,Government - Local,Yes,1.29,246.4,,7.2,13.3,19.8,5.4,0.25,0.35,13.8,12.9,4.84,1.82,1.84,16.48,6.14,2.38,0.54,1.07
010079,700 WEST MARKET STREET,AL,35611,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.82,,,10.6,8.8,21.2,5.1,0.23,0.31,,19.0,3.55,1.57,2.6,6.29,4.67,1.8,1.22,1.07
010085,1201 7TH STREET SE,AL,35601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.75,174.32,,7.8,14.8,17.6,5.2,0.27,0.32,12.2,13.5,4.27,,2.77,,,1.71,1.22,0.96
010083,1613 NORTH MCKENZIE STREET,AL,36535,Acute Care Hospitals,Proprietary,Yes,0.77,175.76,,9.3,12.6,16.9,4.3,0.21,0.34,11.4,13.1,5.51,1.65,2.51,13.17,5.14,1.78,0.6,0.95
010086,1530 U S HIGHWAY 43,AL,35594,Acute Care Hospitals,Proprietary,Yes,0.88,,,8.8,10.9,16.3,3.8,0.25,0.29,,,3.84,,2.39,,,,0.52,1.0
010087,2451 FILLINGIM STREET,AL,36617,Acute Care Hospitals,Government - State,Yes,0.83,209.95,,,12.5,16.4,4.6,0.28,0.3,11.3,13.5,3.44,1.84,2.41,9.94,6.99,2.03,0.96,0.99
010089,3400 HIGHWAY 78 EAST,AL,35502,Acute Care Hospitals,Proprietary,Yes,0.81,,,9.3,11.3,15.5,4.1,0.23,0.31,,15.1,4.06,1.64,2.25,10.25,5.78,1.82,0.35,0.95
010090,6801 AIRPORT BOULEVARD,AL,36608,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.94,153.26,2.6,9.8,10.5,17.6,4.6,0.2,0.28,13.9,14.2,3.92,1.59,3.07,13.21,6.66,2.4,0.82,0.98
010091,295 JACKSON HWY S,AL,36451,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,,,,0.25,0.29,,,,,,,,,0.64,
040088,700 WEST GROVE STREET,AR,71730,Acute Care Hospitals,Proprietary,Yes,0.83,,,7.2,13.3,19.9,5.4,0.23,0.28,12.0,13.0,3.35,1.65,2.3,8.92,5.28,1.8,0.36,1.08
040071,1600 WEST 40TH AVENUE,AR,71603,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.76,181.52,,12.5,10.2,16.8,4.8,0.22,0.37,12.5,18.5,2.68,1.6,2.66,8.39,4.72,1.71,0.73,1.12
040076,1001 SCHNEIDER DRIVE,AR,72104,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,,16.4,4.0,0.25,0.29,,,,,,,,,0.59,1.08
040078,1910 MALVERN AVENUE,AR,71901,Acute Care Hospitals,Proprietary,Yes,0.78,225.32,2.9,10.1,14.6,20.2,5.2,0.28,0.3,13.4,15.5,3.31,1.44,2.69,18.87,5.86,1.75,0.57,1.21
040069,1520 N DIVISION STREET,AR,72315,Acute Care Hospitals,Government - Local,Yes,0.87,,,7.9,,17.0,4.1,0.25,0.33,,,4.41,,2.4,,,,1.2,1.1
040084,#1 MEDICAL PARK DRIVE,AR,72015,Acute Care Hospitals,Proprietary,Yes,0.83,179.91,,13.1,11.0,16.9,4.8,0.23,0.27,12.1,15.9,3.14,1.64,2.23,8.32,5.13,1.81,0.33,1.05
040072,1703 NORTH BUERKLE ST,AR,72160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,10.4,19.6,4.0,0.25,0.29,,,,,,,,,0.58,0.95
04009F,1100 N. COLLEGE AVENUE,AR,72703,Acute Care - Veterans Administration,Veterans Health Administration,Yes,0.88,,,7.9,9.4,15.6,,0.24,0.28,,,3.78,,2.4,,,,0.4,
040132,300 PROSPECT AVE,AR,71901,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
040114,9601 BAPTIST HEALTH DRIVE,AR,72205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.15,214.35,3.0,11.0,11.8,16.2,4.3,0.18,0.31,12.1,15.7,4.12,2.17,2.66,11.94,5.93,2.03,0.28,1.07
040118,4800 EAST JOHNSON AVENUE,AR,72405,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.86,201.39,5.5,8.8,12.7,14.3,3.8,0.32,0.37,13.3,13.2,5.39,2.53,3.07,18.55,5.37,1.97,0.27,1.01
040119,1710 HARRISON STREET,AR,72503,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.68,200.3,,8.5,12.9,16.5,4.4,0.21,0.28,13.5,12.1,4.52,1.52,3.73,8.7,7.98,2.08,3.38,1.04
